"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2022","29.75","28.86","30.57","28.38","134.14M","4.04%"
"09/28/2022","28.60","29.45","29.95","28.48","55.59M","-3.17%"
"09/27/2022","29.53","30.09","30.69","29.45","55.49M","-1.59%"
"09/26/2022","30.01","29.85","30.75","29.65","60.70M","0.20%"
"09/23/2022","29.95","30.85","30.97","29.87","46.02M","-2.65%"
"09/22/2022","30.77","30.97","31.52","30.57","71.98M","-0.51%"
"09/21/2022","30.93","30.65","32.30","30.35","145.16M","1.04%"
"09/20/2022","30.61","30.37","31.23","28.86","135.61M","1.12%"
"09/19/2022","30.27","33.73","34.13","30.27","105.56M","-10.00%"
"09/16/2022","33.63","33.69","35.11","33.14","176.62M","-0.18%"
"09/15/2022","33.69","33.79","35.88","33.00","315.23M","2.61%"
"09/14/2022","32.84","29.51","32.84","28.48","186.17M","10.00%"
"09/13/2022","29.85","33.63","34.03","29.85","254.23M","-6.95%"
"09/12/2022","32.08","29.83","32.08","29.36","196.91M","9.96%"
"09/09/2022","29.18","28.08","29.63","28.08","143.08M","4.56%"
"09/08/2022","27.90","28.86","29.59","27.66","121.22M","-2.16%"
"09/07/2022","28.52","28.12","29.22","27.92","122.44M","1.63%"
"09/06/2022","28.06","28.96","29.51","27.52","131.25M","-2.02%"
"09/05/2022","28.64","27.33","28.90","27.33","144.38M","5.65%"
"09/02/2022","27.11","25.41","27.27","25.37","116.96M","7.08%"
"09/01/2022","25.32","25.83","26.15","25.32","58.13M","-2.38%"
"08/31/2022","25.93","26.63","26.89","25.93","55.45M","-1.51%"
"08/29/2022","26.33","26.63","26.95","26.09","50.98M","-0.90%"
"08/26/2022","26.57","26.25","27.72","26.01","168.54M","1.91%"
"08/25/2022","26.07","25.32","26.21","25.24","93.80M","3.31%"
"08/24/2022","25.24","26.05","26.25","25.18","71.80M","-2.39%"
"08/23/2022","25.85","25.73","26.41","25.71","114.22M","0.70%"
"08/22/2022","25.67","25.41","25.97","25.14","79.87M","1.02%"
"08/19/2022","25.41","25.95","26.15","25.26","68.47M","-1.47%"
"08/18/2022","25.79","24.92","25.83","24.38","142.62M","4.35%"
"08/17/2022","24.72","24.08","24.76","23.98","71.98M","3.33%"
"08/16/2022","23.92","24.42","24.48","23.17","59.39M","-1.72%"
"08/15/2022","24.34","24.68","24.88","24.30","47.56M","-0.41%"
"08/12/2022","24.44","24.06","24.64","23.72","77.11M","1.91%"
"08/11/2022","23.98","24.12","24.44","23.94","41.50M","0.42%"
"08/10/2022","23.88","23.72","24.00","23.68","29.48M","0.17%"
"08/09/2022","23.84","24.04","24.28","23.62","37.33M","-0.17%"
"08/08/2022","23.88","23.52","24.00","23.52","41.07M","1.87%"
"08/05/2022","23.44","23.38","23.66","23.21","53.59M","0.77%"
"08/04/2022","23.27","23.36","23.46","23.25","27.38M","0.78%"
"08/03/2022","23.09","22.67","23.27","22.65","41.13M","2.11%"
"08/02/2022","22.61","23.01","23.07","22.55","34.20M","-1.56%"
"08/01/2022","22.97","22.17","22.97","22.15","49.99M","3.96%"
"07/29/2022","22.09","22.05","22.23","21.85","25.03M","0.45%"
"07/28/2022","21.99","22.45","22.49","21.93","25.44M","-1.07%"
"07/27/2022","22.23","22.21","22.57","22.15","28.12M","0.36%"
"07/26/2022","22.15","22.41","22.55","22.13","21.30M","-0.98%"
"07/25/2022","22.37","22.25","22.51","22.19","26.66M","0.54%"
"07/22/2022","22.25","22.29","22.55","22.15","27.78M","0.18%"
"07/21/2022","22.21","22.11","22.41","22.11","35.20M","0.63%"
"07/20/2022","22.07","22.27","22.37","21.99","26.08M","-0.54%"
"07/19/2022","22.19","21.81","22.23","21.77","27.10M","1.46%"
"07/18/2022","21.87","21.83","21.99","21.73","22.33M","1.67%"
"07/14/2022","21.51","21.87","21.95","21.49","23.88M","-1.55%"
"07/13/2022","21.85","22.09","22.13","21.65","19.82M","-1.08%"
"07/08/2022","22.09","21.93","22.17","21.87","9.44M","0.54%"
"07/07/2022","21.97","21.93","22.11","21.73","20.30M","0.18%"
"07/06/2022","21.93","21.67","21.97","21.43","34.82M","1.85%"
"07/05/2022","21.53","22.49","22.69","21.47","39.35M","-3.22%"
"07/04/2022","22.25","22.87","23.03","22.21","34.17M","-2.27%"
"07/01/2022","22.77","22.67","23.27","22.67","35.52M","0.09%"
"06/30/2022","22.75","22.51","23.17","22.09","61.26M","0.79%"
"06/29/2022","22.57","23.88","23.90","22.43","60.27M","-2.24%"
"06/28/2022","23.09","23.96","24.00","22.79","46.69M","-2.77%"
"06/27/2022","23.74","23.86","24.08","23.44","49.82M","-2.85%"
"06/24/2022","24.44","23.33","24.76","23.33","100.19M","5.41%"
"06/23/2022","23.19","23.64","23.94","23.13","32.89M","-1.85%"
"06/22/2022","23.62","23.90","24.00","23.62","31.04M","-1.82%"
"06/21/2022","24.06","23.84","24.24","23.80","36.72M","1.43%"
"06/20/2022","23.72","23.25","23.78","23.11","34.08M","2.58%"
"06/17/2022","23.13","22.71","23.19","22.67","31.52M","2.11%"
"06/16/2022","22.65","23.17","23.27","22.43","31.37M","-2.15%"
"06/15/2022","23.15","23.29","23.48","23.11","31.73M","-0.09%"
"06/14/2022","23.17","22.79","23.34","22.71","40.90M","2.11%"
"06/13/2022","22.69","22.95","23.23","22.67","27.01M","-1.89%"
"06/10/2022","23.13","23.34","23.54","23.05","34.40M","-1.94%"
"06/09/2022","23.58","23.27","23.62","22.99","39.63M","1.37%"
"06/08/2022","23.27","24.64","24.74","23.15","49.67M","-5.04%"
"06/07/2022","24.50","24.74","24.86","24.36","35.56M","-0.81%"
"06/06/2022","24.70","24.40","24.96","24.40","53.48M","1.97%"
"06/03/2022","24.22","24.82","24.86","24.20","37.37M","-2.01%"
"06/02/2022","24.72","24.94","25.02","24.62","42.01M","-0.24%"
"06/01/2022","24.78","24.46","24.86","24.30","64.49M","1.80%"
"05/31/2022","24.34","24.12","24.58","24.04","74.49M","1.16%"
"05/30/2022","24.06","23.72","24.28","23.68","86.78M","2.89%"
"05/27/2022","23.38","23.92","23.96","23.34","36.92M","-2.00%"
"05/26/2022","23.86","23.60","23.98","23.58","58.81M","1.35%"
"05/25/2022","23.54","23.03","23.72","23.03","67.84M","2.60%"
"05/24/2022","22.95","23.62","23.68","22.93","44.21M","-2.29%"
"05/23/2022","23.48","22.91","23.72","22.91","97.84M","3.60%"
